dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
ReadyMix [5000-5999 psi],14366,0,0.3209361106564931,False,0.019560560925421223,0.010262122345565651,0.019560560925421223,0.010262122345565651,0.009298438579855572,47.53666633236049,0.009298438579855572
ReadyMix [<3000 psi],3974,0,0.24599527585873698,False,0.06005385739882784,0.03669028901155976,0.06005385739882784,0.03669028901155976,0.02336356838726808,38.90435918563343,0.02336356838726808
ReadyMix [>=6000 psi],7887,0,0.2858259235294304,False,0.0173054073773598,0.010268304766665275,0.0173054073773598,0.010268304766665275,0.007037102610694526,40.664183496200025,0.007037102610694526
ReadyMix [strength not stated],8777,0,0.11733215678234384,False,0.02006670697314789,0.023522223634499694,0.02006670697314789,0.023522223634499694,-0.0034555166613518054,-17.22014810888393,-0.0034555166613518054
RebarSteel,204,0,0.05853372121342439,False,0.12196922379255533,0.1776062626388282,0.12196922379255533,0.1776062626388282,-0.05563703884627287,-45.615637384804614,-0.05563703884627287
ResilientFlooring,468,0,0.07837064562530767,False,0.1939877002409622,0.2649181630915314,0.1939877002409622,0.2649181630915314,-0.07093046285056917,-36.564412466595954,-0.07093046285056917
RoofCoverBoards,20,0,0.5589985278977732,False,0.10569569820148414,0.09602789995670014,0.10569569820148414,0.09602789995670014,0.009667798244784004,9.146822821828195,0.009667798244784004
RoofPanels,61,0,0.04090320228167667,False,0.2736142071418623,0.1450312138142137,0.2736142071418623,0.1450312138142137,0.1285829933276486,46.99426783090304,0.1285829933276486
SheathingPanels,71,0,0.01410018092000991,False,0.20435592187799412,0.22798764141794634,0.20435592187799412,0.22798764141794634,-0.023631719539952217,-11.564000359167952,-0.023631719539952217
Shotcrete [3000-3999 psi],183,0,0.5988387897464957,False,0.02515893434228533,0.02035921665774536,0.02515893434228533,0.02035921665774536,0.004799717684539968,19.077587386016376,0.004799717684539968
Shotcrete [4000-4999 psi],651,0,0.5157019965848659,False,0.012218542462359606,0.009699710353592066,0.012218542462359606,0.009699710353592066,0.0025188321087675405,20.614832878201675,0.0025188321087675405
