arm,dataset,family,status,sigma,model_mean,model_sd,w1
empirical,AluminiumSuspensionAssembly,lognormal_3p,boundary_guard,1.6564409483257367,2.34803352060666,69.50054429052193,0.5331706280429814
empirical,Asphalt,lognormal_offset,,0.16324722483661833,0.9950211934199845,0.24622608265621024,0.03245363443597389
empirical,Asphalt,lognormal_3p,interior,0.2035018979124125,0.9951262158967206,0.24836698939161983,0.03137407560168932
empirical,BackingAndUnderlay,lognormal_offset,,0.6936406884365373,1.1300247504998946,1.275904301531559,0.3399366148160891
empirical,BackingAndUnderlay,lognormal_3p,boundary_guard,1.4628464416901774,1.39830226055478,20.016358458848195,0.21579142984605
empirical,BituminousRoofing,lognormal_offset,,0.47422503469812893,1.0334940560474002,0.7662699592792139,0.12513425616412532
empirical,BituminousRoofing,lognormal_3p,interior,0.8423563831277586,1.0499995046157509,1.2700367674455955,0.11557236990453698
empirical,BlanketFacing,lognormal_offset,,0.3406619692592861,0.8225331253293737,0.4637690125687823,0.08055180831704616
empirical,BlanketFacing,lognormal_3p,interior,0.3130379712999989,0.8228961147885588,0.45579409246184577,0.07885518508522768
empirical,BlanketInsulation [mineral wool],lognormal_offset,,0.4072592937575466,0.873915442536641,0.5796109674119821,0.16502738966775865
empirical,BlanketInsulation [mineral wool],lognormal_3p,interior,0.7818873756239733,0.8710893117485575,0.811441395924345,0.09371431686756049
empirical,BlanketInsulation [other],lognormal_offset,,0.340869311202394,0.7961588678918519,0.4542440550368237,0.2761428182265836
empirical,BlanketInsulation [other],lognormal_3p,boundary_normal_limit,0.0009985433362187472,0.7908548422795363,0.330489877282023,0.21208750180201394
empirical,BlanketInsulation [type not stated],lognormal_offset,,0.507939477612476,0.9221476559535595,0.7551412559129872,0.25949671164997407
empirical,BlanketInsulation [type not stated],lognormal_3p,interior,0.9863230927175956,0.9042735599016961,1.6308429792985988,0.12666384256684482
empirical,BlownInsulation [cellulose],lognormal_offset,,0.7456431409649589,1.203285956401281,1.4966561615961502,0.6231854876979647
empirical,BlownInsulation [cellulose],lognormal_3p,boundary_guard,2.5481626499011494,20.942585087323746,2649.2544942452764,0.7662054583137792
empirical,BlownInsulation [type not stated],lognormal_offset,,0.3338109261951758,1.0571486534914354,0.5373239048824671,0.1503388517370263
empirical,BlownInsulation [type not stated],lognormal_3p,interior,0.579704880957478,1.0653054936138724,0.6359552801412423,0.1432698889363639
empirical,BoardInsulation [EPS],lognormal_offset,,0.5679344078086871,0.9726523795795647,0.8859793076914841,0.2072485088862158
empirical,BoardInsulation [EPS],lognormal_3p,interior,1.039127650056423,0.9861499978999037,2.4794610116589286,0.17072592626587552
empirical,BoardInsulation [PIR or PUR],lognormal_offset,,0.5054083255894211,0.8828046399399485,0.7265641305142011,0.22815075836975968
empirical,BoardInsulation [PIR or PUR],lognormal_3p,interior,0.9584107826826559,0.854540236090032,1.4390528893712211,0.17017867910353135
empirical,BoardInsulation [XPS],lognormal_offset,,0.6608050420733144,1.2303872168193826,1.2867700483558606,0.4240964152830017
empirical,BoardInsulation [XPS],lognormal_3p,boundary_guard,1.251585196837978,1.3093924328998914,7.459720523593374,0.34005725290872146
empirical,BoardInsulation [mineral wool],lognormal_offset,,0.356807294128075,1.0849173826119143,0.5870717342208122,0.0880033792383177
empirical,BoardInsulation [mineral wool],lognormal_3p,interior,0.6070501508129476,1.0930748367108627,0.7018281990917976,0.05468094724179837
empirical,BoardInsulation [other],lognormal_offset,,0.44090344038123236,0.8213975395260997,0.6005235596146038,0.22756192708300566
empirical,BoardInsulation [other],lognormal_3p,boundary_guard,2.1784815975663756,4.453294390718173,410.835362090835,0.34554643434092247
empirical,BoardInsulation [type not stated],lognormal_offset,,0.46828603100497157,0.9171669770008466,0.6918402499728258,0.10857320029461497
empirical,BoardInsulation [type not stated],lognormal_3p,interior,0.7609352803653686,0.9137113182222787,0.976436768451553,0.07969459949627683
empirical,Brick,lognormal_offset,,0.46587588906563326,0.8765207133542027,0.665455417624162,0.24578469091295138
empirical,Brick,lognormal_3p,interior,0.7877410034315305,0.8614258447076193,0.9354395962761233,0.19112090082609468
empirical,CMU [3000-3999 psi],lognormal_offset,,0.20602268594295767,1.0345030424174382,0.32040443984093214,0.046600760977547596
empirical,CMU [3000-3999 psi],lognormal_3p,interior,0.2170247681190416,1.0345814990910873,0.32157345563769724,0.046179952001024434
empirical,CMU [4000-4999 psi],lognormal_offset,,0.2362432422460398,1.176181867914262,0.40291001253754927,0.0938556494290002
empirical,CMU [4000-4999 psi],lognormal_3p,boundary_normal_limit,0.0009983775194306556,1.1757791406569245,0.3763195732181195,0.0861956375987431
empirical,CMU [5000-5999 psi],lognormal_offset,,0.05926464485944259,0.9709826881356401,0.0873768391944959,0.03104367551144257
empirical,CMU [5000-5999 psi],lognormal_3p,interior,0.14799560730470368,0.97098934500574,0.08779058091806605,0.030369379677211733
empirical,CMU [<3000 psi],lognormal_offset,,0.20828123024665235,0.9708213517456198,0.31055512770613874,0.04775027318965437
empirical,CMU [<3000 psi],lognormal_3p,interior,0.36629552026765566,0.9717061337091075,0.326598153920674,0.03214493543501182
