realization,dataset,n,method,w1,rank
0,FenestrationAccessories,17,"Lognormal, Uniform",0.3730249592698189,1.0
0,FenestrationAccessories,17,"Lognormal, Variable",0.3991500321629961,3.0
0,FenestrationAccessories,17,"KDE, Uniform",0.3735394534796152,2.0
0,FenestrationAccessories,17,"KDE, Variable",0.5551556530423205,4.0
0,FenestrationFraming,259,"Normal, Uniform",0.5830480984333023,5.0
0,FenestrationFraming,259,"Normal, Variable",0.6294555366334964,6.0
0,FenestrationFraming,259,"Lognormal, Uniform",0.18410736851305518,3.0
0,FenestrationFraming,259,"Lognormal, Variable",0.12580919726203946,2.0
0,FenestrationFraming,259,"KDE, Uniform",0.19515365217232422,4.0
0,FenestrationFraming,259,"KDE, Variable",0.06442360926495701,1.0
0,FiberCementSiding,29,"Normal, Uniform",0.18528846045032887,6.0
0,FiberCementSiding,29,"Normal, Variable",0.09052272948723113,3.0
0,FiberCementSiding,29,"Lognormal, Uniform",0.11417380617324217,4.0
0,FiberCementSiding,29,"Lognormal, Variable",0.07838802615402585,2.0
