arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
synthetic,dataset6021,782,Variable,gamma,w1,0.048956779270575346,0.03620087506715208,,0.0,0.0
synthetic,dataset6021,782,Variable,kde,mle,0.03109765963825034,,,0.020842615354025137,
synthetic,dataset6028,839,Uniform,normal,mle,0.2938778792660415,0.00032791600096970797,,0.09531400963313097,1.0000000000000004
synthetic,dataset6028,839,Uniform,normal,w1,0.1339778581735801,0.04431170900352299,,0.3241671787766326,0.43583109296548417
synthetic,dataset6028,839,Uniform,lognormal_2p,mle,0.1827271664769274,0.0002912499476224184,,0.0,0.0
synthetic,dataset6028,839,Uniform,lognormal_2p,w1,0.15353877940621394,0.04111962497700006,,0.0,0.0
synthetic,dataset6028,839,Uniform,lognormal_3p,mle,0.14693897903587522,0.002815582905896008,boundary_guard,0.0009894296452267464,-0.16691227532428637
synthetic,dataset6028,839,Uniform,lognormal_3p,w1,0.1286930208619527,0.10867962497286499,,0.002930996941554274,-0.2590986555735609
synthetic,dataset6028,839,Uniform,lognormal_offset,mle,0.14831775877056363,0.0002702500205487013,,0.00906837591602609,-0.5
synthetic,dataset6028,839,Uniform,lognormal_offset,w1,0.119439812915304,0.04242370801512152,,0.014237337776255403,-0.5
synthetic,dataset6028,839,Uniform,gamma,mle,0.14765403001670777,0.0002828750293701887,,0.0,0.0
synthetic,dataset6028,839,Uniform,gamma,w1,0.11957688504924843,0.03522420907393098,,0.0,0.0
synthetic,dataset6028,839,Uniform,kde,mle,0.17607709724771736,,,0.023335158591491885,
synthetic,dataset6028,839,Variable,normal,mle,0.10710884854987583,0.00028858298901468515,,0.054372334138015135,0.8525592826998967
synthetic,dataset6028,839,Variable,normal,w1,0.05170090800735119,0.04021808295510709,,0.11993748172565616,0.691013093820994
synthetic,dataset6028,839,Variable,lognormal_2p,mle,0.13251005322034615,0.0002911660121753812,,0.0,0.0
synthetic,dataset6028,839,Variable,lognormal_2p,w1,0.05289433914888559,0.03868495800998062,,0.0,0.0
synthetic,dataset6028,839,Variable,lognormal_3p,mle,0.027977181936906705,0.0027104169130325317,interior,0.0049685252532087765,-0.3758007658736473
synthetic,dataset6028,839,Variable,lognormal_3p,w1,0.02338220166899272,0.07887087494600564,,0.014898067008791796,-0.6637853605773155
