material,n_implausible,n_before,n_after,n_removed,n_removed_low,n_removed_high,min_over_mean_before,max_over_mean_before,min_over_mean_after,max_over_mean_after,status
SupplementaryCementitiousMaterials,0,28,28,0,0,0,0.030094591095792943,3.109774413231938,0.030094591095792943,3.109774413231938,ok
Tables,0,161,161,0,0,0,0.010087860674488462,11.727468044606972,0.010087860674488462,11.727468044606972,ok
TileGrout,0,44,43,1,1,0,0.00031461594559114864,8.93382100145609,0.09792415096210204,8.73084204374403,ok
Timber,0,17,17,0,0,0,0.20291634278304746,2.487889640082017,0.20291634278304746,2.487889640082017,ok
TranslucentWallAndRoofAssemblies,0,47,46,1,1,0,0.007991774306832566,5.225390892928986,0.024422661002450306,5.115082120353192,ok
UnitSkylights,0,17,17,0,0,0,0.17198081066671964,2.484550979622958,0.17198081066671964,2.484550979622958,ok
VinylSiding,0,11,11,0,0,0,0.021164146567050412,4.74523561173923,0.021164146567050412,4.74523561173923,ok
WallBase,0,14,14,0,0,0,0.4407770537726077,1.6710309968942219,0.4407770537726077,1.6710309968942219,ok
WallFinishes,0,173,173,0,0,0,0.004691913387652116,28.372099032256294,0.004691913387652116,28.372099032256294,ok
WallPanels,0,164,163,1,1,0,7.206764264391626e-07,6.884510577772487,0.04338456386536504,6.842531884805895,ok
WeatherBarriers,0,59,59,0,0,0,0.19425704471427524,8.180106777419692,0.19425704471427524,8.180106777419692,ok
WindTurbines,0,3,3,0,0,0,0.5534407027818449,1.5538067349926794,0.5534407027818449,1.5538067349926794,ok
Windows,0,363,358,5,5,0,0.007541353481878469,8.449025368020727,0.03715171721740349,8.334635840978649,ok
WireMeshSteel,1,54,53,1,0,1,0.07766766059844372,21.15774202509329,0.12533809383211908,5.1022847337340815,ok
WoodDoors,0,32,32,0,0,0,0.06277575592773858,3.208912124526071,0.06277575592773858,3.208912124526071,ok
WoodFlooring,0,90,86,4,2,2,0.00985754741871581,16.50471598033386,0.05277042959300982,3.1687165645019126,ok
WoodFraming,0,9,7,2,1,1,0.05024006019583027,4.517669230572345,0.29865244343971314,2.1988308224863564,ok
WoodJoists,0,5,5,0,0,0,0.6430053007605437,1.8414381193823464,0.6430053007605437,1.8414381193823464,ok
WorkSurfaces,0,13,12,1,0,1,0.22052425712614834,4.062797262674441,0.29609836134316875,2.3125930411473763,ok
